Roll,Plate,Chain,Rigid Leather,Soft Leather,None
1-8,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble
9-35,0,0,0,0,0
36-40,0,0,0,0,0
41-45,0,0,0,0,0
46-50,1,0,0,0,0
51-55,1,1,0,0,0
56-60,2,1,0,0,0
61-65,2,2,0,0,0
66-70,3,3,2,3,0
71-75,3,4,3,5,0
76-80,4,5,5,7A,7
81-85,5,6,6,9A,9A
86-90,5,7,7A,10B,10A
91-95,6,8,9A,12B,11B
96-100,6,9,10B,13B,13C
101-105,7,10A,11B,14C,15C
106-110,8,11A,12B,15C,17D
111-115,8A,12B,13C,17C,19D
116-120,9A,13B,15C,18D,20D
121-125,9A,13C,16C,19D,21E
126-130,10B,14C,17D,20D,23E
131-135,11B,15C,18D,22D,25E
136-140,11C,16D,20D,23E,27E
141-145,12D,17D,21E,24E,28E
146-150,12E,18E,22E,25E,30E
