Roll,Plate,Chain,Rigid Leather,Soft Leather,None
1-8,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble
9-35,0,0,0,0,0
36-40,1,0,0,0,0
41-45,1,1,0,0,0
46-50,2,2,0,0,0
51-55,3,3,0,0,0
56-60,3,4,0,0,0
61-65,4,5,0,0,0
66-70,5,6,2,3,0
71-75,5,7,3,5,0
76-80,6,8,4,6,0
81-85,7,9,6,7A,6
86-90,8,10,7A,8A,8
91-95,8,11,8A,9A,9A
96-100,9,12A,9B,10B,10B
101-105,10,13A,10B,11B,12C
106-110,10A,14B,11B,12B,13C
111-115,11A,15B,12C,13C,14D
116-120,12B,16C,13C,14C,15D
121-125,13B,17C,15C,15C,17D
126-130,13C,18C,16C,16D,18E
131-135,14C,19D,17D,17D,19E
136-140,15D,20D,18D,18E,21E
141-145,16D,21E,19E,19E,22E
146-150,16E,22E,20E,20E,23E
