Roll,Plate,Chain,Rigid Leather,Soft Leather,None
1-8,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble
9-55,0,0,0,0,0
56-60,2,0,0,0,0
61-65,3,0,0,0,0
66-70,4,3,0,6,0
71-75,5,5,2,8A,0
76-80,6,7,4A,10A,0
81-85,7,9,7A,13B,10A
86-90,8,11,9B,15B,13B
91-95,9,12A,12B,17C,16C
96-100,11,14A,14C,20C,19D
101-105,12A,16B,17C,22C,22D
106-110,13A,18B,19C,24C,25D
111-115,14B,20C,22C,27D,28E
116-120,15B,22C,24D,29D,31E
121-125,16C,24C,27D,31D,33E
126-130,17C,26D,29D,33E,36E
131-135,19D,28D,32E,36E,39E
136-140,20D,29E,34E,38E,42E
141-145,21E,31E,37E,40E,45E
146-150,22E,33E,40E,43E,48E
