Roll,Plate,Chain,Rigid Leather,Soft Leather,None
1-8,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble,Possible Fumble
9-55,0,0,0,0,0
56-60,0,0,0,0,0
61-65,0,0,0,0,0
66-70,0,0,0,0,0
71-75,1,0,0,0,0
76-80,2,2,0,4,0
81-85,3,4,3,6,0
86-90,4,6,5,8A,0
91-95,5,7,7A,10A,8A
96-100,6,8A,9A,12B,10B
101-105,7,10A,10B,13B,11C
106-110,8A,13B,12B,14B,13C
111-115,9A,14B,13B,16C,15C
116-120,10A,16B,15C,17C,16D
121-125,11B,17C,17C,19D,18D
126-130,11B,19C,19D,20D,20D
131-135,12C,20D,21D,22D,22E
136-140,13C,22D,23D,23E,23E
141-145,14D,23E,25E,25E,25E
146-150,15E,25E,26E,26E,27E
